SupportDegrees,ALL,GC,0,0.25,0.5,0.75,1,1.5,2,2.5,3,3.5,4,4.5,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120
116687r,INFERIOR,GC density,0,0,0,0,0,13014.2002,22377.1992,29145.4004,29766.5,30238.8008,30498.1992,30746.1992,29525.0996,8151.5,2731.3899,1801.67,1156.67,602.611,398.32,321.879,255.595,196.556,137.518,154.949,199.097,243.245,297.476,211.882,84.7372,nan,nan,nan,nan,nan,nan,nan
116687r,NASAL,GC density,0,0,0,0,0,11620.7998,20018,26689.6992,29779.3008,32413.1992,34478.3984,36543.6016,36467,15069.9004,5565.5601,nan,3360.3301,2803.01,2519.52,2191.1799,1880.85,1561.71,1329.5,1248.35,1225.36,1202.36,1179.36,1182.86,1089.46,959.612,829.761,699.909,nan,nan,nan,nan
116687r,SUPERIOR,GC density,0,0,0,0,0,11012.0996,20237.6992,26663.5996,27384.5,27480.3008,26908.3008,26336.4004,24554.4004,8234.9199,4851.5298,3252.1299,1860.35,1112.3199,1072.39,867.579,688.299,419.655,199.679,252.665,305.651,358.637,327.892,272.618,204.072,135.526,88.444,36.6153,nan,nan,nan,nan
116687r,TEMPORAL,GC density,0,0,0,0,1494.27,10804,19100,24902.3008,24946.9004,24952,24909,24866.0996,24322.5,12917.2002,5627.75,3707.5901,1972.6,1471.09,1014.12,574.298,460.031,350.282,289.622,303.882,263.488,223.094,182.7,127.05,nan,nan,nan,nan,nan,nan,nan,nan
29986l,INFERIOR,GC density,0,1053.35,2829.45,8713.9902,14598.5,20374.9004,23169,25301.9004,25438.5996,24916.5,25370.3008,25353.0996,23434.1992,10111.7002,4203.3701,2064.8701,1613.25,1331,1048.76,766.511,479.682,341.287,319.607,297.927,288.121,296.639,300.423,292.851,239.91,186.968,134.027,nan,nan,nan,nan,nan
29986l,NASAL,GC density,0,0,687.961,2222.8401,3757.72,10478.5996,17242.6992,21952.4004,23967.4004,25879.1992,28683.0996,30764,30407.5996,17431.5,4457.6899,nan,3787.6699,3455.47,2980.8201,2506.1699,2156.6101,1727.14,1406.48,1558.48,1592.13,1492.5,1300.1,1019.8,739.502,604.299,581.639,468.914,311.614,nan,nan,nan
29986l,SUPERIOR,GC density,0,0,0,69.0689,4125.3101,12647.5996,19622.5996,24669.4004,27313.8008,28614.6992,27675.3008,26735.9004,25796.5996,12932.9004,6049.9302,2900.2,2181.75,1361.35,1102.15,717.765,488.927,480.287,448.509,409.776,345.653,279.512,213.371,158.364,105.791,68.7252,nan,nan,nan,nan,nan,nan
29986l,TEMPORAL,GC density,0,1814.5699,3629.1399,5443.71,7258.2798,13775.9004,19255.6992,22686.0996,22808.5996,22683.4004,23776.5,24396.5996,23538.5996,14073.2998,7773.1001,3868.51,2269.78,1186.09,931.002,675.909,541.293,418.225,316.356,264.157,191.224,96.2986,41.1201,nan,nan,nan,nan,nan,nan,nan,nan,nan
29986r,INFERIOR,GC density,0,0,1318.62,7392.3198,14221.2002,20450.8008,22715,24356.0996,25299.0996,26242.0996,25682.3008,24539.6992,23397,8244.0498,3699.26,2193.3401,1531.85,1190.65,1020.19,849.733,671.098,477.113,443.585,431.529,419.473,402.254,305.696,213.242,124.389,82.1008,nan,nan,nan,nan,nan,nan
