SupportDegrees,ALL,cones,0,0.25,0.5,0.75,1,1.5,2,2.5,3,3.5,4,4.5,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120
29986L,INFERIOR,cones/sq mm,166321,149728,121592,98887.4,77768.6,55104.5,43319,31533.5,26835,23907.2,21551.1,20637.6,19694.6,9321.17,7118.29,6274.56,5659.18,3929.89,3612.08,3515.31,3480.35,3403.39,3290.24,3151.84,3046.62,2947.06,2788.55,2735.58,2640.69,2517.9,2395.11,nan,nan,nan,nan,nan
29986L,NASAL,cones/sq mm,166321,159506,112154,89432.5,73469.2,55796.8,38457.9,30900.9,29314.7,27728.6,24489.9,21326,20199.4,10613,6614.57,,6129.72,6071.87,6060.17,5748.47,5536.38,5538.17,5343.23,5090.63,4902.7,4846.53,4736.37,4623.55,4486.37,4304.99,4038.9,3769.52,3672.08,3710.76,nan,nan
29986L,SUPERIOR,cones/sq mm,166321,128993,96982.4,68860.7,54452.9,35422.8,19595.9,18535.9,17427.5,16546.4,16331.8,15826.3,15265,10402.6,6787.68,5289.67,4224.22,4103.98,3919.26,3738.18,3574.47,3390.95,3202.19,3074.78,2947.38,2946.87,2950.43,2951.57,2915.6,2885.25,2854.91,2861.22,nan,nan,nan,nan
29986L,TEMPORAL,cones/sq mm,166321,139856,105226,86477.8,68405.8,51614.9,41115.4,34339.6,30446.1,26400.1,22424.7,19036.4,18127.8,9966.86,7069.31,5956.72,5300.26,4741.74,4183.23,3889.02,3715.22,3708.75,3330.59,2773.48,2740.02,2471.82,2252.51,2146.43,2418.75,nan,nan,nan,nan,nan,nan,nan
29986R,INFERIOR,cones/sq mm,190301,147734,105624,85439.4,68443.3,48735.2,39450.7,30047.6,26666.7,23311.4,19956.1,16549.1,14387.6,9073.27,7362.39,5996.53,5389.51,5109.74,4995.06,4839.38,4683.69,4434.55,4073.84,3610.7,3100.67,3052.77,3036.06,3019.36,2998.86,3070.08,3135.99,nan,nan,nan,nan,nan
29986R,NASAL,cones/sq mm,190301,173531,134029,111426,88823.9,48710.7,38970.7,32376.6,27745,25856,24049.5,22186.7,20300.8,12156.5,8492.69,,6964.04,7015.45,6940.14,6605.1,6146.75,5845.58,5515.9,5169.36,4818.95,4624.95,4815.17,5005.38,5083.99,5136.05,5163.49,5190.93,5218.37,nan,nan,nan
29986R,SUPERIOR,cones/sq mm,190301,130223,96314.4,75992.6,56296.1,44058.4,32411.3,26705.3,23462.2,20863.2,18264.2,15665.1,14634.3,8904.76,7166.78,5606.3,4813.93,4192.66,4002.95,3884.05,3765.14,3646.24,3554.64,3434.39,3314.14,3193.89,3039.36,2881.01,2767.14,2750.4,2711.57,2630.68,nan,nan,nan,nan
29986R,TEMPORAL,cones/sq mm,190301,153776,119077,96660,85270.4,62491.3,43164,39227.8,33943.4,28255.3,22567.1,18711.9,18243.8,11299.1,8761.88,6753.04,5307.77,4465.9,4213.35,4008.53,3924.08,3684.72,3344.06,3186,2831,2586.07,2617.28,2648.48,2679.68,nan,nan,nan,nan,nan,nan,nan
44985L,INFERIOR,cones/sq mm,181792,133860,106521,83832,68995.4,55326,41569.5,37694.3,32793.3,27892.2,24344.3,21180.6,18016.9,10077.8,7917.08,6362.75,5826.99,5344.32,5132.87,5069.43,5005.99,4942.54,4879.1,4815.65,4797.54,4845.07,4891.98,4928.8,4788.12,4717.48,5104.7,nan,nan,nan,nan,nan
44985L,NASAL,cones/sq mm,181792,134063,104857,78170.6,68620.5,55241.4,43579.3,36852.6,29324.5,21796.5,19843.1,19452.1,19061.1,12370.4,9311.29,,,8269.5,7016.16,6958.07,6848.45,6712.9,6605.04,6461.95,6318.85,6105.19,5727.91,5436.13,5411.56,5386.99,5991.46,7034.13,nan,nan,nan,nan
44985L,SUPERIOR,cones/sq mm,181792,142600,114439,88120.7,68492.6,55699.4,42944.7,35799.7,27188.9,18578,16133.3,15440.4,14747.5,10744.1,8515.99,6801.91,5754.03,4776.99,4453.13,4485.9,4511.48,4389.91,4267.31,4144.72,4107.69,4093.49,4079.29,4490.4,4915.66,5152.78,5390.67,nan,nan,nan,nan,nan
44985L,TEMPORAL,cones/sq mm,181792,141170,109141,80683,70921.8,54128.7,40396.3,37473.9,32555,26008.5,22958.9,20889.2,18819.6,11495.2,9464.7,7413.36,6086.31,4865.73,4583.03,4300.34,4103.61,3954.46,3853.67,3760.22,3727.33,3706.73,3749.22,3794.46,3847.92,3901.38,nan,nan,nan,nan,nan,nan
483848L,INFERIOR,Cones/sq mm,81844.1,74174.3,73234.5,61482.2,53815.4,46376.4,35354.4,29958.6,25387.8,23158.5,20929.2,18699.9,16470.6,11067.9,8730.78,7093.77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
483848L,NASAL,Cones/sq mm,81844.1,88063,90683.4,77937.9,63456.8,55724.6,47624.7,41615.7,36534.6,26451.7,24749,23493.4,22237.8,15354.6,14805.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
483848L,SUPERIOR,Cones/sq mm,81844.1,82566.5,84790.9,73715.8,63440.8,50586.2,41927.8,31872.8,27406.5,25907.9,24172.3,21779.4,19386.5,12101.3,9464.63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
483848L,TEMPORAL,Cones/sq mm,81844.1,77563,71638.7,68246.3,66531.4,55275.9,43994.5,39837.3,37158.8,32156.8,24954.6,20097.6,18867.2,11883,9681.22,8046.63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
59784L,INFERIOR,Cones/sq mm,120000,93178.7,62560.7,48353.7,45640.6,38178.8,26329.6,24731.7,23133.9,21536,19938.1,18340.2,16497.9,11986.3,8368.47,6460.08,5890,5319.91,4749.82,4179.74,3618.23,3435.69,3265.91,3220.21,3275.76,3416.04,3578.35,3767.84,3957.34,nan,nan,nan,nan,nan,nan,nan
59784L,NASAL,Cones/sq mm,120000,90682.5,79160.5,69811.3,63133,48121.6,38919.5,36250.4,33581.2,30912,28242.8,25573.7,22904.5,14034.5,,,7077.94,6747.93,6417.91,6088.87,5896.92,5704.97,5513.02,5321.08,5232.55,5146.9,5061.25,4975.61,4996.95,5018.37,5039.78,5061.2,5351.57,5638.26,5511.2,nan
59784L,SUPERIOR,Cones/sq mm,120000,87433.1,70078.6,63274.2,54115.4,39245.7,30791.6,28418,26375.5,24164.3,21953.1,19741.8,17252.5,11768.6,8855.56,7321.69,6725.48,6129.26,5533.05,4936.83,4703.46,4526.62,4216.86,3889.5,3790.49,3691.48,3514.76,3324.62,3134.36,2944.09,nan,nan,nan,nan,nan,nan
